Net Income (In Thousands of Dollars $000) (American Airlines - All regions),,,,,,,
Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2000,1,"69,607","23,551",442,"11,483",,"105,083"
2000,2,"226,493","16,586","67,547","12,979",,"323,605"
2000,3,"189,292","30,453","81,248","15,119",,"316,112"
2000,4,"26,417","-1,731","5,286","3,231",,"33,203"
2000,TOTAL,"511,809","68,859","154,523","42,812",0,"778,003"
2001,1,"-96,984","43,767","-15,164","13,618",,"-54,763"
2001,2,"-473,359","-21,275","51,622","5,912",,"-437,100"
2001,3,"-387,386","34,759","43,902","17,907",,"-290,818"
2001,4,"-396,983","-59,064","-65,485","-12,963",,"-534,495"
2001,TOTAL,"-1,354,712","-1,813","14,875","24,474",0,"-1,317,176"
2002,1,"-1,099,842","-178,906","-137,252","-15,478",,"-1,431,478"
2002,2,"-412,967","-51,603","-21,324",175,,"-485,719"
2002,3,"-789,387","-41,698","-23,911","4,086",,"-850,910"
2002,4,"-602,512","-63,349","-54,632","-7,060",,"-727,553"
2002,TOTAL,"-2,904,708","-335,556","-237,119","-18,277",0,"-3,495,660"
2003,1,"-963,145","-28,634","-29,409","-10,401",,"-1,031,589"
2003,2,"-284,473","30,279","118,489","2,767",,"-132,938"
2003,3,"-276,719","79,002","144,784","28,694",,"-24,239"
2003,4,"-295,354","63,386","74,234","28,009",,"-129,725"
2003,TOTAL,"-1,819,691","144,033","308,098","49,069",0,"-1,318,491"
2004,1,"-357,163","92,037","61,890","21,563",,"-181,673"
2004,2,"-235,756","32,710","156,040","34,071",,"-12,935"
2004,3,"-328,165","-29,392","117,028","14,653",,"-225,876"
2004,4,"-393,780","-27,649","12,713","8,219",,"-400,497"
2004,TOTAL,"-1,314,864","67,706","347,671","78,506",0,"-820,981"
2005,1,"-223,297","33,014","27,244","-8,113",,"-171,152"
2005,2,"-45,447","-14,307","115,314","-14,836",,"40,724"
2005,3,"-269,074","-3,100","136,278","-24,429",,"-160,325"
2005,4,"-437,179","-85,680","-33,565","-44,542",,"-600,966"
2005,TOTAL,"-974,997","-70,073","245,271","-91,920",0,"-891,719"
2006,1,"-108,444","37,553","-10,455","-24,511",,"-105,857"
2006,2,"118,615","46,597","130,574","-16,307",,"279,479"
2006,3,"-168,282","51,269","129,004","-11,261",,730
2006,4,"-131,966","80,720","38,752","2,018",,"-10,476"
2006,TOTAL,"-290,077","216,139","287,875","-50,061",0,"163,876"
2007,1,"-100,332","116,720","35,000",-244,,"51,144"
2007,2,"83,247","47,505","126,511","13,345",,"270,608"
2007,3,"-69,245","66,556","131,710","17,553",,"146,574"
2007,4,"-204,180","80,518","5,611","5,506",,"-112,545"
2007,TOTAL,"-290,510","311,299","298,832","36,160",0,"355,781"
2008,1,"-339,972","86,496","-74,323","-16,111",,"-343,910"
2008,2,"-1,027,770","-197,453","-185,177","-52,332",,"-1,462,732"
2008,3,"-498,176","90,254","18,052","-6,302",,"-396,172"
2008,4,"-42,160","28,392","-236,507","-77,663",,"-327,938"
2008,TOTAL,"-1,908,078","7,689","-477,955","-152,408",0,"-2,530,752"
2009,1,"-305,674","70,892","-112,440","-18,439",,"-365,661"
2009,2,"-240,523","-57,647","-64,354","-27,311",,"-389,835"
2009,3,"-317,411","2,663","-36,279","-25,783",,"-376,810"
2009,4,"-303,419","41,183","-56,212","-25,027",,"-343,475"
2009,TOTAL,"-1,167,027","57,091","-269,285","-96,560",0,"-1,475,781"
2010,1,"-349,238","-5,733","-99,168","-34,647",,"-488,786"
2010,2,"42,431","-56,922","10,497","-2,824",,"-6,818"
2010,3,"80,225","31,100","16,023","1,235",,"128,583"
2010,4,"16,593","35,656","-126,799","-27,647",,"-102,197"
2010,TOTAL,"-209,989","4,101","-199,447","-63,883",0,"-469,218"
2011,1,"-428,978","146,499","-108,290","-39,742",,"-430,511"
2011,2,"4,049","24,935","-194,868","-118,472",,"-284,356"
2011,3,"-109,514","214,901","-148,509","-110,030",,"-153,152"
2011,4,"-778,126","-6,258","-217,752","-94,946",,"-1,097,082"
2011,TOTAL,"-1,312,569","380,077","-669,419","-363,190",0,"-1,965,101"
2012,1,"-1,068,634","-213,935","-251,383","-142,256",,"-1,676,208"
2012,2,"-192,738","35,982","-47,361","-59,632",,"-263,749"
2012,3,"-318,978","131,260","-31,803","-37,401",,"-256,922"
2012,4,"96,976","221,469","-10,276","-37,391",,"270,778"
2012,TOTAL,"-1,483,374","174,776","-340,823","-276,680",0,"-1,926,101"
2013,1,"-219,811","114,791","-59,546","-88,282",,"-252,848"
2013,2,"106,718","103,164","80,866","-62,992",,"227,756"
2013,3,"40,361","204,265","113,783","-68,570",,"289,839"
2013,4,"-1,105,174","-257,172","-254,591","-173,517",,"-1,790,454"
2013,TOTAL,"-1,177,906","165,048","-119,488","-393,361",0,"-1,525,707"
2014,1,"245,678","209,896","-8,070","-46,815",,"400,689"
2014,2,"226,448","-1,700","94,547","-53,884",,"265,411"
2014,3,"297,132","48,275","157,195","-37,141",,"465,461"
2014,4,"201,553","50,552","6,832","-80,760",,"178,177"
2014,TOTAL,"970,811","307,023","250,504","-218,600",0,"1,309,738"
2015,1,"303,638","114,534","61,089","89,627",,"568,888"
2015,2,"624,275","128,827","179,952","118,490",,"1,051,543"
2015,3,"1,098,924","242,532","269,125","111,562",,"1,722,143"
2015,4,"3,542,267","88,080","45,755","74,005",,"3,750,106"
2015,TOTAL,"5,569,104","573,973","555,920","393,684",0,"7,092,680"
2016,1,"18,836","306,731","69,018","315,686",,"710,272"
2016,2,"277,899","298,509","103,518","292,320",,"972,247"
2016,3,"492,520","177,630","115,350","-27,389",,"758,111"
2016,4,"384,206","107,984","-72,353","-79,254",,"340,583"
2016,TOTAL,"1,173,461","890,855","215,534","501,362",0,"2,781,212"
2017,1,"329,892","76,730","-43,458","-100,575",,"262,590"
2017,2,"691,457","118,670","86,791","-70,023",,"826,895"
2017,3,"349,281","228,828","126,497","-55,905",,"648,700"
2017,4,"280,081","100,842","-77,823","-119,549",,"183,552"
2017,TOTAL,"1,650,712","525,071","92,007","-346,051",0,"1,921,738"
2018,1,"132,352","308,068","-75,869","-128,485",,"236,066"
2018,2,"398,058","226,664","82,800","-88,581",,"618,941"
2018,3,"116,472","224,840","150,423","-89,159",,"402,575"
2018,4,"382,807","193,458","-46,326","-129,454",,"400,485"
2018,TOTAL,"1,029,688","953,029","111,028","-435,678",0,"1,658,067"
2019,1,"167,005","231,467","-89,519","-79,097",,"229,855"
2019,2,"472,610","244,123","90,522","-93,341",,"713,914"
2019,3,"261,135","276,587","60,010","-89,836",,"507,896"
2019,4,"415,863","306,697","-83,894","-118,206",,"520,460"
2019,TOTAL,"1,316,613","1,058,874","-22,882","-380,480",0,"1,972,126"
2020,1,"-1,735,854","-15,039","-304,085","-114,002",,"-2,168,980"
2020,2,"-1,538,580","-179,163","-238,928","-11,343",,"-1,968,013"
2020,3,"-1,476,828","-240,986","-385,244","-172,456",,"-2,275,515"
2020,4,"-1,601,905","-249,328","-148,488","-37,291",,"-2,037,012"
2020,TOTAL,"-6,353,167","-684,516","-1,076,745","-335,092",0,"-8,449,520"
2021,1,"-151,957","-856,832","-137,161","-69,666",,"-1,215,616"
2021,2,"656,548","-175,771","-369,229","-60,649",,"50,899"
