Net Income (In Thousands of Dollars $000) (Delta Air Lines - All regions),,,,,,,
Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2000,1,"274,235","10,882","-42,629","-10,024",,"232,464"
2000,2,"426,971","5,590","13,299","-11,372",,"434,488"
2000,3,"21,392","7,711","24,341","3,510",,"56,954"
2000,4,"-27,756",116,"-8,132","-1,671",,"-37,443"
2000,TOTAL,"694,842","24,299","-13,121","-19,557",0,"686,463"
2001,1,"-106,518","-1,338","-24,366","-5,259",,"-137,481"
2001,2,"-13,969","7,134","-1,360","-18,578",,"-26,773"
2001,3,"-188,135","-10,236","-25,813","-13,581",,"-237,765"
2001,4,"-538,807","-35,679","-111,802","-18,746",,"-705,034"
2001,TOTAL,"-847,429","-40,119","-163,341","-56,164",0,"-1,107,053"
2002,1,"-252,792","-25,624","-113,460","-6,134",,"-398,010"
2002,2,"-129,072","-17,759","-56,518",-231,,"-203,580"
2002,3,"-250,985","-19,472","-73,313","1,544",,"-342,226"
2002,4,"-226,127","-23,071","-102,307",344,,"-351,161"
2002,TOTAL,"-858,976","-85,926","-345,598","-4,477",0,"-1,294,977"
2003,1,"-370,524","-7,451","-94,470","-3,628",,"-476,073"
2003,2,"127,450","11,806","3,739","-13,643",,"129,352"
2003,3,"-203,635","3,318","20,257","-12,763",,"-192,823"
2003,4,"-324,439","-3,497","-10,585","-17,531",,"-356,052"
2003,TOTAL,"-771,148","4,176","-81,059","-47,565",0,"-895,596"
2004,1,"-355,460","-1,512","-28,008","-6,813",,"-391,793"
2004,2,"-1,632,097","-71,492","-258,245","-11,157",,"-1,972,991"
2004,3,"-584,823","-19,092","-56,822","2,943",,"-657,794"
2004,4,"-311,306","-8,691","-22,477","2,873",,"-339,601"
2004,TOTAL,"-2,883,686","-100,787","-365,552","-12,154",0,"-3,362,179"
2005,1,"-897,697","-41,639","-113,381","-3,501",,"-1,056,218"
2005,2,"-376,771","-15,049","-5,000","6,185",,"-390,635"
2005,3,"-913,559","-54,903","-150,731","-2,005",,"-1,121,198"
2005,4,"-921,343","-87,005","-212,616","-8,536",,"-1,229,500"
2005,TOTAL,"-3,109,370","-198,596","-481,728","-7,857",0,"-3,797,551"
2006,1,"-1,550,844","-160,413","-342,301","-18,727",,"-2,072,285"
2006,2,"-1,497,819","-154,466","-454,281","-17,985",,"-2,124,551"
2006,3,"97,246","-23,904","-63,284","4,282",,"14,340"
2006,4,"-1,272,938","-145,896","-379,256","-16,097",,"-1,814,187"
2006,TOTAL,"-4,224,355","-484,679","-1,239,122","-48,527",0,"-5,996,683"
2007,1,"53,423","-29,841","-87,544","1,303",,"-62,659"
2007,2,"1,360,046","83,873","302,673","17,435",,"1,764,027"
2007,3,"199,242","-1,808",-623,"4,391",,"201,202"
2007,4,"1,910","-17,605","-87,952","-4,603",,"-108,250"
2007,TOTAL,"1,614,621","34,619","126,554","18,526",0,"1,794,320"
2008,1,"-4,458,674","-585,068","-1,272,348","-89,790",,"-6,405,880"
2008,2,"-601,748","-95,701","-331,624","-36,330",,"-1,065,403"
2008,3,"32,646","-10,447","-73,251","-14,335",,"-65,387"
2008,4,"-452,519","-71,900","-344,352","-27,276",,"-896,047"
2008,TOTAL,"-5,480,295","-763,116","-2,021,575","-167,731",0,"-8,432,717"
2009,1,"-167,918","-67,433","-264,894","-15,446",,"-515,691"
2009,2,"-22,805","-43,088","-180,837","-17,614",,"-264,344"
2009,3,"67,250","-19,403","-115,491","-19,715",,"-87,359"
2009,4,"74,226","-25,576","-103,389","6,936",,"-47,803"
2009,TOTAL,"-49,247","-155,500","-664,611","-45,839",0,"-915,197"
2010,1,"-14,584","-84,426","-155,816","-5,907",,"-260,733"
2010,2,"473,729","-40,278","-18,820","44,945",,"459,576"
2010,3,"358,895","-31,798","-7,317","68,916",,"388,696"
2010,4,"222,612","-19,888","-105,766","1,493",,"98,451"
2010,TOTAL,"1,040,652","-176,390","-287,719","109,447",0,"685,990"
2011,1,"122,398","-107,303","-258,154","-51,961",,"-295,020"
2011,2,"554,398","-63,143","-177,301","-78,001",,"235,953"
2011,3,"582,660","-12,809","-28,729","21,060",,"562,182"
2011,4,"525,093","-11,392","-46,163","7,866",,"475,404"
2011,TOTAL,"1,784,549","-194,647","-510,347","-101,036",0,"978,519"
2012,1,"393,522","-51,500","-168,455","-27,726",,"145,841"
2012,2,"378,979","-88,242","-251,573","-189,885",,"-150,721"
2012,3,"285,919","85,167","472,212","326,633",,"1,169,931"
2012,4,"-187,761","4,748","96,744","65,847",,"-20,422"
2012,TOTAL,"870,659","-49,827","148,928","174,869",0,"1,144,629"
2013,1,"-141,743",112,"59,956","88,435",,"6,760"
2013,2,"403,516","-36,449","231,930","89,704",,"688,701"
2013,3,"650,001","-16,112","478,317","259,442",,"1,371,648"
2013,4,"5,725,232","415,992","1,409,364","931,537",,"8,482,125"
2013,TOTAL,"6,637,006","363,543","2,179,567","1,369,118",0,"10,549,234"
2014,1,"154,566","-93,088","102,543","54,111",,"218,132"
2014,2,"504,876","-78,737","294,734","86,549",,"807,422"
2014,3,"128,045","-109,144","261,384","81,174",,"361,459"
2014,4,"-225,093","-223,121","-100,551","-153,779",,"-702,544"
2014,TOTAL,"562,394","-504,090","558,110","68,055",0,"684,469"
2015,1,"592,926","-53,477","138,863","66,192",,"744,504"
2015,2,"963,639","-18,480","386,167","155,967",,"1,487,293"
2015,3,"782,359","-18,201","417,739","137,322",,"1,319,219"
2015,4,"778,957","-64,563","248,913","24,170",,"987,477"
2015,TOTAL,"3,117,881","-154,721","1,191,682","383,651",0,"4,538,493"
2016,1,"727,934","25,221","131,431","70,596",,"955,182"
2016,2,"1,050,593","54,686","344,923","102,311",,"1,552,513"
2016,3,"730,844","65,772","329,026","143,662",,"1,269,304"
2016,4,"469,594","12,942","119,041","31,270",,"632,847"
2016,TOTAL,"2,978,965","158,621","924,421","347,839",0,"4,409,846"
2017,1,"436,046","20,744","110,446","48,677",,"615,913"
2017,2,"889,627","51,561","241,328","52,997",,"1,235,513"
2017,3,"715,427","72,736","304,635","98,600",,"1,191,398"
2017,4,"425,920","14,911","127,255","23,460",,"591,546"
2017,TOTAL,"2,467,020","159,952","783,664","223,734",0,"3,634,370"
2018,1,"325,483","49,136","159,206","50,030",,"583,855"
2018,2,"547,392","65,434","324,665","80,251",,"1,017,742"
2018,3,"620,420","91,893","428,082","135,308",,"1,275,703"
2018,4,"648,210","66,141","231,001","62,983",,"1,008,335"
2018,TOTAL,"2,141,505","272,604","1,142,954","328,572",0,"3,885,635"
2019,1,"422,508","79,625","180,431","65,169",,"747,733"
2019,2,"872,896","104,680","361,534","68,068",,"1,407,178"
2019,3,"876,781","102,372","408,228","106,607",,"1,493,988"
2019,4,"737,340","95,009","224,697","63,975",,"1,121,021"
2019,TOTAL,"2,909,525","381,686","1,174,890","303,819",0,"4,769,920"
2020,1,"-528,143","6,542","11,141",-895,,"-511,355"
2020,2,"-4,572,596","-115,207","-653,336","-350,737",,"-5,691,876"
2020,3,"-4,526,428","-193,357","-456,254","-205,303",,"-5,381,342"
2020,4,"-760,786","-3,883","-29,595","1,267",,"-792,997"
2020,TOTAL,"-10,387,953","-305,905","-1,128,044","-555,668",0,"-12,377,570"
2021,1,"-941,392","-166,685","-52,745","-20,586",,"-1,181,408"
2021,2,"553,964","59,991","30,220","-3,084",,"641,091"
2021,3,"861,472","117,536","189,586","27,951",,"1,196,545"
2021,4,"-333,521","-11,557","-11,120","-16,875",,"-373,073"
2021,TOTAL,"140,522",-715,"155,941","-12,594",0,"283,154"
2022,1,"-671,980","-105,399","-100,357","-27,848",,"-905,584"
2022,2,"673,278","1,160","113,148","11,203",,"798,789"
2022,3,"460,733","24,370","217,089","57,124",,"759,316"
2022,4,"775,461","82,098","40,660","29,533",,"927,752"
2022,TOTAL,"1,237,492","2,229","270,540","70,012",0,"1,580,273"
2023,1,"-185,853","42,086","-123,079","-5,983",,"-272,829"
2023,2,"1,153,288","124,857","530,939","104,337",,"1,913,421"
2023,3,"538,978","60,170","493,731","97,493",,"1,190,372"
2023,4,"1,550,496","158,234","311,187","98,156",,"2,118,073"
2023,TOTAL,"3,056,909","385,347","1,212,778","294,003",0,"4,949,037"
2024,1,"195,069","-8,218","-67,623","-5,355",,"113,873"
2024,2,"824,105","42,845","428,536","83,363",,"1,378,849"
2024,3,"675,750","55,844","545,143","73,197",,"1,349,934"
2024,4,"607,886","70,542","202,769","33,537",,"914,734"
2024,TOTAL,"2,302,810","161,013","1,108,825","184,742",0,"3,757,390"
2025,1,"223,887","33,161","43,816","14,067",,"314,931"
2025,2,"1,261,194","128,301","674,333","146,435",,"2,210,263"
2025,3,"839,761","74,212","512,040","72,819",,"1,498,832"
2025,TOTAL,"2,324,842","235,674","1,230,189","233,321",0,"4,024,026"
,,,,,,,
Note: All numbers are for scheduled services.,,,,,,,
