Net Income (In Thousands of Dollars $000) (Frontier Airlines - All regions),,,,,,,
Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2000,1,"6,884",,,,,"6,884"
2000,2,"16,448",,,,,"16,448"
2000,3,"20,194",,,,,"20,194"
2000,4,"10,285",,,,,"10,285"
2000,TOTAL,"53,810",0,0,0,0,"53,810"
2001,1,"7,941",,,,,"7,941"
2001,2,"7,740",,,,,"7,740"
2001,3,"7,279",,,,,"7,279"
2001,4,909,,,,,909
2001,TOTAL,"23,868",0,0,0,0,"23,868"
2002,1,623,,,,,623
2002,2,"-2,936",,,,,"-2,936"
2002,3,"-3,988",,,,,"-3,988"
2002,4,"-6,166",,,,,"-6,166"
2002,TOTAL,"-12,466",0,0,0,0,"-12,466"
2003,1,"-9,754",,,,,"-9,754"
2003,2,"10,934",,,,,"10,934"
2003,3,"1,998",,,,,"1,998"
2003,4,"5,456",,,,,"5,456"
2003,TOTAL,"8,633",0,0,0,0,"8,633"
2004,1,"-5,752",,,,,"-5,752"
2004,2,"-6,574",,,,,"-6,574"
2004,3,"-2,082",,,,,"-2,082"
2004,4,"-11,058",,,,,"-11,058"
2004,TOTAL,"-25,466",0,0,0,0,"-25,466"
2005,1,"-3,716",,,,,"-3,716"
2005,2,"-2,168",-565,,,,"-2,734"
2005,3,"6,643",262,,,,"6,905"
2005,4,"-10,892",602,,,,"-10,290"
2005,TOTAL,"-10,134",299,0,0,0,"-9,835"
2006,1,"-7,826",-27,,,,"-7,853"
2006,2,"4,524",-567,,,,"3,957"
2006,3,"2,046","-1,537",,,,508
2006,4,"-13,975",-431,,,,"-14,406"
2006,TOTAL,"-15,232","-2,562",0,0,0,"-17,793"
2007,1,"-10,167",-263,,,,"-10,430"
2007,2,"-2,339","-1,144",,,,"-3,483"
2007,3,"18,690","-1,373",,,,"17,317"
2007,4,"-24,988","-4,412",,,,"-29,401"
2007,TOTAL,"-18,804","-7,192",0,0,0,"-25,997"
2008,1,"-40,212",-606,,,,"-40,818"
2008,2,"-59,850",289,,,,"-59,561"
2008,3,"-31,778",-180,,,,"-31,957"
2008,4,"-1,544",772,,,,-772
2008,TOTAL,"-133,384",276,0,0,0,"-133,108"
2009,1,"-147,892","-15,704",,,,"-163,595"
2009,2,"5,708","1,500",,,,"7,208"
2009,3,"285,809",970,,,,"286,779"
2009,4,"-9,459",-318,,,,"-9,777"
2009,TOTAL,"134,165","-13,552",0,0,0,"120,614"
2010,1,"-12,670",-885,,,,"-13,554"
2010,2,"-1,716",230,,,,"-1,486"
2010,3,"9,276",280,,,,"9,556"
2010,4,"-16,566","2,671",,,,"-13,895"
