Load Factor (passenger-miles as a proportion of available seat-miles in percent (%)) (American Airlines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,68.85,67.86,68.56
2002,11,66.88,69.24,67.56
2002,12,72.83,74.46,73.31
2002,TOTAL,70.13,72.29,70.76
2003,1,65.59,70.25,67
2003,2,69.15,68.03,68.81
2003,3,72.53,69.59,71.66
2003,4,72.45,66.11,70.59
2003,5,74.8,71.13,73.72
2003,6,79.64,77.24,78.9
2003,7,81.7,79.66,81.04
2003,8,79.74,79.42,79.64
2003,9,65.63,69.41,66.84
2003,10,70.93,68.83,70.27
2003,11,70.45,71.21,70.7
2003,12,72.88,75.85,73.84
2003,TOTAL,73.07,72.48,72.89
2004,1,67.68,71.82,69.03
2004,2,69.81,67.22,68.98
2004,3,75.48,74.61,75.2
2004,4,76.06,72.94,75.05
2004,5,74.15,71.41,73.22
2004,6,80.2,76.92,79.08
2004,7,81.88,79.82,81.14
2004,8,79.01,77.66,78.53
2004,9,72.99,74.36,73.47
2004,10,76.32,72.39,74.96
2004,11,74.76,70.94,73.46
2004,12,74.78,74.47,74.68
2004,TOTAL,75.34,73.91,74.85
2005,1,73.35,73.35,73.35
2005,2,73.88,69.24,72.25
2005,3,81.65,77.86,80.32
2005,4,79.84,73.36,77.49
2005,5,80.23,74.71,78.22
2005,6,84.93,79.34,82.88
2005,7,86.28,83.29,85.17
2005,8,82.22,80.63,81.64
2005,9,77.51,74.19,76.27
2005,10,80.27,71.96,77.21
2005,11,80.99,71.79,77.7
2005,12,80.5,76.5,79.04
2005,TOTAL,80.26,75.74,78.62
2006,1,76.13,73.51,75.16
2006,2,78.31,69.52,75.07
2006,3,83.63,77.04,81.21
2006,4,84.43,77.29,81.73
2006,5,83.42,76.55,80.81
2006,6,87.47,82.17,85.44
2006,7,88.52,84.81,87.08
2006,8,82.65,81,82.02
2006,9,76.18,74.53,75.55
2006,10,80.34,73.08,77.59
2006,11,82.28,75.33,79.74
