Load Factor (passenger-miles as a proportion of available seat-miles in percent (%)) (Hawaiian Airlines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,74.67,78.13,74.71
2002,11,71.65,46.78,71.34
2002,12,74.27,71.27,74.23
2002,TOTAL,77.71,59.12,77.44
2003,1,68.74,54.61,68.57
2003,2,69.05,47.64,68.79
2003,3,74.31,58.04,74.02
2003,4,79.27,55.19,79.02
2003,5,74.35,67.67,74.29
2003,6,82.13,79.67,82.1
2003,7,88.62,67.53,88.34
2003,8,88.65,62.42,88.26
2003,9,82.31,55.69,82.07
2003,10,85.04,74.94,84.92
2003,11,84.86,68.28,84.66
2003,12,84.37,72.69,84.27
2003,TOTAL,80.5,63.8,80.3
2004,1,80.63,67,80.5
2004,2,83.36,58.86,83.03
2004,3,83.92,67.69,83.77
2004,4,85.22,55.34,84.93
2004,5,86.49,63.9,85.36
2004,6,90.84,70.83,89.14
2004,7,91.5,57.75,88.7
2004,8,90.79,51.31,87.51
2004,9,89.75,72.45,88.17
2004,10,90.28,76.98,89.01
2004,11,88.26,82.66,87.79
2004,12,86.36,68.6,84.83
2004,TOTAL,87.27,67.83,86.11
2005,1,84.98,64.53,82.74
2005,2,86.46,53.67,83.66
2005,3,88.74,62.64,86.4
2005,4,87.41,50.48,84.35
2005,5,88.59,50.13,85.4
2005,6,88.87,57.31,86.37
2005,7,91.7,70.6,90.05
2005,8,93.25,54.1,90.28
2005,9,90.31,79.53,89.43
2005,10,91.38,82.58,90.65
2005,11,90.74,74.8,89.49
2005,12,89.9,80.93,89.16
2005,TOTAL,89.46,65.21,87.43
2006,1,88.2,79.01,87.44
2006,2,90.24,57.89,87.56
2006,3,90.03,59.65,87.46
2006,4,88.58,68.44,86.91
2006,5,89.82,53.04,86.83
2006,6,88.54,66.24,87.04
2006,7,90.65,67.59,89.25
2006,8,87.86,53.42,85.79
2006,9,83.55,79.88,83.33
2006,10,87.43,72.93,86.55
2006,11,85.76,72.71,85.02
2006,12,84.78,74.2,84.18
2006,TOTAL,87.87,66.8,86.41
2007,1,84.28,77.74,83.92
2007,2,88.12,72.64,87.23
2007,3,91.55,83.71,91.11
2007,4,88.47,77.81,87.9
2007,5,87.65,68.84,86.65
2007,6,88.01,69.84,87.06
2007,7,88,79.26,87.56
2007,8,88.84,70,87.87
2007,9,88.44,84.08,88.2
2007,10,90.59,81.32,90.11
2007,11,89.46,79.76,88.95
2007,12,82.47,75.8,82.11
2007,TOTAL,87.99,76.76,87.39
2008,1,83.26,79.36,83.05
2008,2,85.34,64.15,84.21
2008,3,88.47,73.76,87.68
2008,4,91.02,52.21,87.87
2008,5,90.19,49.65,85.72
2008,6,84.03,60.35,81.52
2008,7,79.38,72.67,78.65
2008,8,84.55,60.97,82.11
2008,9,82.78,59.75,80.11
2008,10,85.38,65.21,83.07
2008,11,81.27,63.26,79.23
2008,12,80.85,69.42,79.6
2008,TOTAL,84.69,63.33,82.68
2009,1,79.06,71.93,78.29
2009,2,86.27,57.07,83.04
2009,3,87.2,62.98,84.6
2009,4,86.71,66.05,84.44
2009,5,85.67,64.31,83.34
2009,6,87.58,63.3,85.03
2009,7,86.14,77.26,85.24
2009,8,87.32,69.62,85.45
2009,9,85.88,69.03,84.02
2009,10,86.76,75.05,85.42
