Load Factor (passenger-miles as a proportion of available seat-miles in percent (%)) (Allegiant Air - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,35.72,,35.72
2002,11,48.71,,48.71
2002,12,59.68,,59.68
2002,TOTAL,52.97,,52.97
2003,1,58.22,,58.22
2003,2,61.68,,61.68
2003,3,71.62,,71.62
2003,4,65.01,,65.01
2003,5,67.55,,67.55
2003,6,78.26,,78.26
2003,7,74.92,,74.92
2003,8,71.72,,71.72
2003,9,64.11,,64.11
2003,10,71.64,,71.64
2003,11,63.96,,63.96
2003,12,67.73,,67.73
2003,TOTAL,68.84,,68.84
2004,1,69.85,,69.85
2004,2,77.62,,77.62
2004,3,78.83,,78.83
2004,4,73.55,,73.55
2004,5,66.87,,66.87
2004,6,76.84,,76.84
2004,7,80.6,,80.6
2004,8,71.69,,71.69
2004,9,71.8,,71.8
2004,10,75.24,44.44,75.13
2004,11,74.72,,74.72
2004,12,74.58,,74.58
2004,TOTAL,74.38,44.44,74.37
2005,1,75.24,,75.24
2005,2,84.78,,84.78
2005,3,89.73,,89.73
2005,4,88.47,,88.47
2005,5,85.14,,85.14
2005,6,84.96,68.39,84.8
2005,7,75.87,,75.87
2005,8,72.88,,72.88
2005,9,74.43,,74.43
2005,10,80.8,,80.8
2005,11,77.7,,77.7
2005,12,76.93,,76.93
2005,TOTAL,79.7,68.39,79.69
2006,1,77.49,,77.49
2006,2,80.33,,80.33
2006,3,86.37,,86.37
2006,4,81.65,,81.65
2006,5,80.46,,80.46
2006,6,85.63,,85.63
2006,7,86.85,,86.85
2006,8,78.43,,78.43
2006,9,72.72,,72.72
2006,10,79.8,,79.8
2006,11,77.87,,77.87
2006,12,78.46,,78.46
2006,TOTAL,80.71,,80.71
2007,1,77.89,,77.89
2007,2,80.94,,80.94
2007,3,87.33,,87.33
2007,4,82.1,,82.1
2007,5,84.08,,84.08
2007,6,88.58,,88.58
2007,7,91.12,,91.12
2007,8,86.78,,86.78
2007,9,78.12,,78.12
2007,10,80.72,,80.72
2007,11,78.85,,78.85
2007,12,79.01,,79.01
2007,TOTAL,83.08,,83.08
2008,1,82.44,,82.44
2008,2,86.39,,86.39
2008,3,90.83,,90.83
2008,4,87.51,,87.51
2008,5,89.93,,89.93
2008,6,93.96,,93.96
2008,7,95.18,,95.18
2008,8,93.35,,93.35
2008,9,91.81,,91.81
2008,10,91.22,,91.22
2008,11,89.9,,89.9
2008,12,88.73,,88.73
2008,TOTAL,89.96,,89.96
2009,1,89.06,,89.06
2009,2,90.24,,90.24
2009,3,92.28,,92.28
