Load Factor (passenger-miles as a proportion of available seat-miles in percent (%)) (Spirit Air Lines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,72.06,,72.06
2002,11,76.78,,76.78
2002,12,79.16,,79.16
2002,TOTAL,73.41,,73.41
2003,1,76.38,,76.38
2003,2,75.65,,75.65
2003,3,75.17,,75.17
2003,4,73.48,,73.48
2003,5,76.97,,76.97
2003,6,78.45,,78.45
2003,7,82.19,,82.19
2003,8,81.85,,81.85
2003,9,81.54,,81.54
2003,10,83.93,33.17,83.88
2003,11,82.76,,82.76
2003,12,80.7,75.02,80.68
2003,TOTAL,78.95,67.9,78.95
2004,1,78.73,70.46,78.65
2004,2,75.99,69.05,75.93
2004,3,78.71,63.17,78.57
2004,4,75.1,66.08,75.02
2004,5,76.37,70.55,76.32
2004,6,78.2,70.13,78.1
2004,7,84.63,72.17,84.44
2004,8,84.33,76.23,84.2
2004,9,78.37,71.76,78.29
2004,10,81.12,76.8,81.06
2004,11,69.8,71.55,69.83
2004,12,74.45,69.91,74.28
2004,TOTAL,77.93,70.85,77.83
2005,1,76.17,77.3,76.22
2005,2,72.7,72.29,72.69
2005,3,86.86,77.12,86.57
2005,4,78.56,69.87,78.15
2005,5,84.35,82,84.21
2005,6,85.44,76.41,84.73
2005,7,85.18,71.46,83.98
2005,8,84.93,73.37,84.03
2005,9,76.98,58.72,75.69
2005,10,80.56,80.08,80.53
2005,11,74.67,79.65,75.06
2005,12,76.52,75.49,76.4
2005,TOTAL,80.34,74.42,79.97
2006,1,77.78,60.88,75.52
2006,2,85.85,64.78,83.06
2006,3,91.27,73.34,88.9
2006,4,87.1,78.18,85.93
2006,5,88.79,80.1,87.77
2006,6,83.1,76.31,82.27
2006,7,89.85,87.95,89.64
2006,8,86.95,82.5,86.53
2006,9,76.61,77.23,76.66
2006,10,82.67,82.34,82.65
2006,11,77.56,77.47,77.55
2006,12,71.43,68.79,71.12
2006,TOTAL,83.06,74.76,82.14
2007,1,75.54,69.54,74.88
2007,2,80.58,64.64,78.86
2007,3,82.87,68.35,81.35
2007,4,78.58,74.21,78.08
2007,5,81.91,76.88,81.2
2007,6,86.2,69.43,82.9
2007,7,88.78,79.34,86.77
2007,8,86.94,81,85.71
2007,9,77.34,70.49,76.1
2007,10,83.58,76.34,82.35
2007,11,80.33,77.7,79.87
2007,12,78.08,74.99,77.47
2007,TOTAL,81.91,74.59,80.72
2008,1,77.72,76.87,77.58
2008,2,79.39,76.14,78.88
2008,3,82.43,73.67,81.09
2008,4,79.63,72.25,78.46
2008,5,83.69,70.76,81.1
2008,6,81.18,69.56,78.56
2008,7,85.71,77.7,83.81
2008,8,84.46,79.81,83.37
2008,9,78.38,68.08,76.28
2008,10,86.38,68.13,82.7
2008,11,82.83,72.46,80.82
2008,12,81.28,78.5,80.74
2008,TOTAL,81.91,73.84,80.34
2009,1,79.51,73.78,78.27
2009,2,78.99,64.9,76.13
2009,3,80.38,64.08,77.03
2009,4,82.32,70.2,79.87
2009,5,79.43,64.5,76.23
2009,6,84.98,74.94,82.76
2009,7,89.01,81.47,87.28
2009,8,84.86,82.39,84.31
2009,9,76.02,70.33,75.22
2009,10,79.13,67.31,77.43
2009,11,79.66,69.51,78.16
2009,12,79.38,78.44,79.22
2009,TOTAL,81.19,72.34,79.47
2010,1,80.68,79.77,80.52
2010,2,79.79,69.23,77.83
2010,3,84.96,72.2,82.6
2010,4,82.68,72.45,80.76
2010,5,82.69,71.92,80.87
2010,6,78.18,72.71,77.11
2010,7,87.04,80.5,85.6
2010,8,86.16,83.67,85.65
2010,9,77.77,77.27,77.69
2010,10,85.96,79.55,84.97
2010,11,86.04,76.99,84.48
2010,12,84.08,80.44,83.33
2010,TOTAL,83.24,76.84,82.05
2011,1,84.26,79.33,83.28
2011,2,83.3,78.24,82.42
2011,3,86.5,82.18,85.82
2011,4,84.72,84.95,84.75
