Operating Revenue (In Thousands of Dollars $000) (American Airlines - All regions),,,,,,,
Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2000,1,"2,917,251","684,326","463,631","136,833",,"4,202,041"
2000,2,"3,176,390","662,834","623,778","147,172",,"4,610,174"
2000,3,"3,258,964","729,275","688,867","155,475",,"4,832,581"
2000,4,"3,092,000","681,482","561,377","137,469",,"4,472,328"
2000,TOTAL,"12,444,605","2,757,917","2,337,653","576,949",0,"18,117,124"
2001,1,"3,018,110","734,745","494,907","129,819",,"4,377,581"
2001,2,"2,992,271","668,602","596,463","145,825",,"4,403,161"
2001,3,"2,438,537","660,728","565,607","136,672",,"3,801,544"
2001,4,"2,134,255","507,719","328,166","86,368",,"3,056,508"
2001,TOTAL,"10,583,173","2,571,794","1,985,143","498,684",0,"15,638,794"
2002,1,"2,751,952","610,460","366,800","78,598",,"3,807,810"
2002,2,"2,940,866","554,644","515,184","99,720",,"4,110,414"
2002,3,"2,792,148","630,406","583,098","121,690",,"4,127,342"
2002,4,"2,695,402","561,455","455,677","112,516",,"3,825,050"
2002,TOTAL,"11,180,368","2,356,965","1,920,759","412,524",0,"15,870,616"
2003,1,"2,891,694","667,279","445,192","103,704",,"4,107,869"
2003,2,"3,063,802","598,619","570,830","82,795",,"4,316,046"
2003,3,"3,104,546","702,697","662,916","125,824",,"4,595,983"
2003,4,"3,004,298","700,261","542,110","136,757",,"4,383,426"
2003,TOTAL,"12,064,340","2,668,856","2,221,048","449,080",0,"17,403,324"
2004,1,"3,033,877","817,558","516,215","135,452",,"4,503,102"
2004,2,"3,196,489","731,771","724,568","168,147",,"4,820,975"
2004,3,"2,990,849","781,738","803,294","176,948",,"4,752,829"
2004,4,"2,933,370","784,318","633,689","179,270",,"4,530,647"
2004,TOTAL,"12,154,585","3,115,385","2,677,766","659,817",0,"18,607,553"
2005,1,"3,043,356","930,654","599,326","163,195",,"4,736,531"
2005,2,"3,404,654","837,232","847,225","207,081",,"5,296,192"
2005,3,"3,404,282","921,387","936,572","208,779",,"5,471,020"
2005,4,"3,338,261","879,006","731,527","204,610",,"5,153,404"
2005,TOTAL,"13,190,553","3,568,279","3,114,650","783,665",0,"20,657,147"
2006,1,"3,436,925","1,020,809","666,270","203,653",,"5,327,657"
2006,2,"3,768,267","974,986","957,666","257,259",,"5,958,178"
2006,3,"3,521,649","1,022,888","1,008,824","276,221",,"5,829,582"
2006,4,"3,361,336","1,005,841","776,697","234,056",,"5,377,930"
