Operating Revenue (In Thousands of Dollars $000) (JetBlue Airways - All regions),,,,,,,
Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2000,1,"6,469",,,,,"6,469"
2000,2,"16,192",,,,,"16,192"
2000,3,"33,434",,,,,"33,434"
2000,4,"49,153",,,,,"49,153"
2000,TOTAL,"105,248",0,0,0,0,"105,248"
2001,1,"63,850",,,,,"63,850"
2001,2,"78,398",,,,,"78,398"
2001,3,"82,608",,,,,"82,608"
2001,4,"95,558",,,,,"95,558"
2001,TOTAL,"320,414",0,0,0,0,"320,414"
2002,1,"133,369",,,,,"133,369"
2002,2,"149,303",,,,,"149,303"
2002,3,"165,260",,,,,"165,260"
2002,4,"187,258",,,,,"187,258"
2002,TOTAL,"635,191",0,0,0,0,"635,191"
2003,1,"217,130",,,,,"217,130"
2003,2,"244,701",,,,,"244,701"
2003,3,"273,576",,,,,"273,576"
2003,4,"262,944",,,,,"262,944"
2003,TOTAL,"998,351",0,0,0,0,"998,351"
2004,1,"289,003",,,,,"289,003"
2004,2,"319,719",,,,,"319,719"
2004,3,"323,215",,,,,"323,215"
2004,4,"334,035",,,,,"334,035"
2004,TOTAL,"1,265,972",0,0,0,0,"1,265,972"
2005,1,"374,222",,,,,"374,222"
2005,2,"424,512","5,539",,,,"430,052"
2005,3,"452,915",,,,,"452,915"
2005,4,"445,992",,,,,"445,992"
2005,TOTAL,"1,697,642","5,539",0,0,0,"1,703,181"
2006,1,"490,528",,,,,"490,528"
2006,2,"611,008",,,,,"611,008"
2006,3,"628,113",,,,,"628,113"
2006,4,"633,609",,,,,"633,609"
2006,TOTAL,"2,363,258",0,0,0,0,"2,363,258"
2007,1,"608,180",,,,,"608,180"
2007,2,"729,876",,,,,"729,876"
2007,3,"766,194",,,,,"766,194"
2007,4,"738,905",,,,,"738,905"
2007,TOTAL,"2,843,155",0,0,0,0,"2,843,155"
2008,1,"816,297",,,,,"816,297"
2008,2,"859,065",,,,,"859,065"
2008,3,"903,670",,,,,"903,670"
2008,4,"769,060","42,090",,,,"811,150"
2008,TOTAL,"3,348,091","42,090",0,0,0,"3,390,181"
2009,1,"741,130","51,760",,,,"792,890"
2009,2,"757,537","49,624",,,,"807,162"
2009,3,"793,395","62,135",,,,"855,531"
2009,4,"727,071","104,759",,,,"831,830"
2009,TOTAL,"3,019,133","268,279",0,0,0,"3,287,412"
2010,1,"738,421","131,198",,,,"869,619"
2010,2,"806,579","133,609",,,,"940,188"
2010,3,"846,146","185,554",,,,"1,031,700"
2010,4,"799,486","139,824",,,,"939,309"
2010,TOTAL,"3,190,631","590,185",0,0,0,"3,780,816"
2011,1,"841,819","171,035",,,,"1,012,854"
2011,2,"964,881","187,699",,,,"1,152,580"
2011,3,"975,012","221,472",,,,"1,196,484"
2011,4,"959,984","186,997",,,,"1,146,981"
2011,TOTAL,"3,741,697","767,203",0,0,0,"4,508,899"
2012,1,"996,094","207,376",,,,"1,203,470"
2012,2,"1,074,802","202,526",,,,"1,277,328"
2012,3,"1,058,632","248,547",,,,"1,307,179"
2012,4,"1,005,150","188,887",,,,"1,194,037"
