Operating Revenue (In Thousands of Dollars $000) (Spirit Air Lines - All regions),,,,,,,
Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2000,1,"81,549",,,,,"81,549"
2000,2,"76,473",,,,,"76,473"
2000,3,"68,793",,,,,"68,793"
2000,4,"85,422",,,,,"85,422"
2000,TOTAL,"312,237",0,0,0,0,"312,237"
2001,1,"99,031",,,,,"99,031"
2001,2,"103,296",,,,,"103,296"
2001,3,"98,695",,,,,"98,695"
2001,4,"74,171",,,,,"74,171"
2001,TOTAL,"375,193",0,0,0,0,"375,193"
2002,1,"93,157",,,,,"93,157"
2002,2,"99,129",,,,,"99,129"
2002,3,"103,409",,,,,"103,409"
2002,4,"108,649",,,,,"108,649"
2002,TOTAL,"404,344",0,0,0,0,"404,344"
2003,1,"118,053",,,,,"118,053"
2003,2,"109,687",,,,,"109,687"
2003,3,"109,626",,,,,"109,626"
2003,4,"112,701",,,,,"112,701"
2003,TOTAL,"450,067",0,0,0,0,"450,067"
2004,1,"131,068",,,,,"131,068"
2004,2,"126,025",,,,,"126,025"
2004,3,"113,871",,,,,"113,871"
2004,4,"112,302",,,,,"112,302"
2004,TOTAL,"483,266",0,0,0,0,"483,266"
2005,1,"136,960",,,,,"136,960"
2005,2,"130,076",,,,,"130,076"
2005,3,"104,932","9,211",,,,"114,142"
2005,4,"93,701","9,569",,,,"103,270"
2005,TOTAL,"465,669","18,780",0,0,0,"484,449"
2006,1,"114,833","22,152",,,,"136,985"
2006,2,"121,849","21,949",,,,"143,797"
2006,3,"111,672","16,254",,,,"127,926"
2006,4,"125,281","6,305",,,,"131,586"
2006,TOTAL,"473,635","66,659",0,0,0,"540,294"
2007,1,"141,676","31,311",,,,"172,986"
2007,2,"152,650","44,318",,,,"196,968"
2007,3,"151,887","53,089",,,,"204,976"
2007,4,"146,723","40,902",,,,"187,626"
2007,TOTAL,"592,936","169,620",0,0,0,"762,556"
2008,1,"160,982","43,097",,,,"204,079"
2008,2,"156,938","48,278",,,,"205,216"
2008,3,"157,330","45,907",,,,"203,237"
2008,4,"141,712","34,593",,,,"176,305"
2008,TOTAL,"616,962","171,875",0,0,0,"788,837"
2009,1,"136,193","33,836",,,,"170,029"
2009,2,"141,078","39,329",,,,"180,407"
2009,3,"139,493","39,115",,,,"178,608"
2009,4,"140,899","30,095",,,,"170,994"
2009,TOTAL,"557,663","142,375",0,0,0,"700,038"
