YEAR,QUARTER,UNIQUE_CARRIER,CARRIER_NAME,TOTAL_COST
2009,1,AA,American Airlines Inc.,359975009
2009,1,AA,American Airlines Inc.,370354712
2009,1,AA,American Airlines Inc.,412539451
2009,1,AS,Alaska Airlines Inc.,33474308
2009,1,AS,Alaska Airlines Inc.,36666810
2009,1,AS,Alaska Airlines Inc.,39745220
2009,1,B6,JetBlue Airways,68401136
2009,1,B6,JetBlue Airways,71935691
2009,1,B6,JetBlue Airways,74051341
2009,1,DL,Delta Air Lines Inc.,418084647
2009,1,DL,Delta Air Lines Inc.,427932326
2009,1,DL,Delta Air Lines Inc.,433144640
2009,1,F9,Frontier Airlines Inc.,15850179
2009,1,F9,Frontier Airlines Inc.,17110437
2009,1,F9,Frontier Airlines Inc.,19141063
2009,1,G4,Allegiant Air,10780956
2009,1,G4,Allegiant Air,10995963
2009,1,G4,Allegiant Air,14157052
2009,1,HA,Hawaiian Airlines Inc.,15202151
2009,1,HA,Hawaiian Airlines Inc.,15254793
2009,1,HA,Hawaiian Airlines Inc.,17268736
2009,1,NK,Spirit Air Lines,11085000
2009,1,NK,Spirit Air Lines,11800000
2009,1,NK,Spirit Air Lines,13005000
2009,1,UA,United Air Lines Inc.,220432464
2009,1,UA,United Air Lines Inc.,232043219
2009,1,UA,United Air Lines Inc.,264590598
2009,1,WN,Southwest Airlines Co.,212631216
2009,1,WN,Southwest Airlines Co.,213996909
2009,1,WN,Southwest Airlines Co.,237558897
2009,2,AA,American Airlines Inc.,373933199
2009,2,AA,American Airlines Inc.,374191951
2009,2,AA,American Airlines Inc.,415829624
2009,2,AS,Alaska Airlines Inc.,37057514
2009,2,AS,Alaska Airlines Inc.,38153908
2009,2,AS,Alaska Airlines Inc.,47104530
2009,2,B6,JetBlue Airways,70752353
2009,2,B6,JetBlue Airways,71908146
2009,2,B6,JetBlue Airways,84180105
2009,2,DL,Delta Air Lines Inc.,385470902
2009,2,DL,Delta Air Lines Inc.,389613223
2009,2,DL,Delta Air Lines Inc.,397800827
2009,2,F9,Frontier Airlines Inc.,17645096
2009,2,F9,Frontier Airlines Inc.,19237064
2009,2,F9,Frontier Airlines Inc.,23167093
2009,2,G4,Allegiant Air,13479117
2009,2,G4,Allegiant Air,13483369
2009,2,G4,Allegiant Air,18186540
2009,2,HA,Hawaiian Airlines Inc.,15654460
2009,2,HA,Hawaiian Airlines Inc.,16939535
2009,2,HA,Hawaiian Airlines Inc.,19471021
2009,2,NK,Spirit Air Lines,11194000
2009,2,NK,Spirit Air Lines,15728000
2009,2,NK,Spirit Air Lines,15821000
2009,2,UA,United Air Lines Inc.,239201234
2009,2,UA,United Air Lines Inc.,247268744
2009,2,UA,United Air Lines Inc.,296237802
2009,2,WN,Southwest Airlines Co.,217607981
2009,2,WN,Southwest Airlines Co.,224140639
2009,2,WN,Southwest Airlines Co.,249600486
2009,3,AA,American Airlines Inc.,396104589
2009,3,AA,American Airlines Inc.,432864177
2009,3,AA,American Airlines Inc.,441400746
2009,3,AS,Alaska Airlines Inc.,45190593
2009,3,AS,Alaska Airlines Inc.,49616321
2009,3,AS,Alaska Airlines Inc.,53198377
2009,3,B6,JetBlue Airways,73094704
2009,3,B6,JetBlue Airways,83250923
2009,3,B6,JetBlue Airways,89257721
