Load Factor (passenger-miles as a proportion of available seat-miles in percent (%)) (JetBlue Airways - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,80.97,,80.97
2002,11,79.2,,79.2
2002,12,84.38,,84.38
2002,TOTAL,82.89,,82.89
2003,1,82.16,,82.16
2003,2,76.46,,76.46
2003,3,82.26,,82.26
2003,4,84.06,,84.06
2003,5,84.94,,84.94
2003,6,86.96,,86.96
2003,7,90.61,,90.61
2003,8,91.26,,91.26
2003,9,80.07,,80.07
2003,10,85.34,,85.34
2003,11,81.49,,81.49
2003,12,81.4,,81.4
2003,TOTAL,84.15,,84.15
2004,1,77.7,,77.7
2004,2,77.8,,77.8
2004,3,83.36,,83.36
2004,4,86.25,,86.25
2004,5,81.8,,81.8
2004,6,85.97,55.31,85.48
2004,7,88.32,70.8,87.87
2004,8,89.25,78.75,88.99
2004,9,73.38,64.85,73.18
2004,10,83.51,56.28,83.04
2004,11,84.41,58.74,83.81
2004,12,82.33,67.56,82
2004,TOTAL,83.01,65.79,82.78
2005,1,81.43,71.46,81.21
2005,2,83.54,69.05,83.22
2005,3,89.17,84.55,89.11
2005,4,86.92,82.75,86.86
2005,5,86.69,81.13,86.62
2005,6,88.85,80.54,88.75
2005,7,90.7,83.62,90.59
2005,8,89.64,87.99,89.61
2005,9,77.37,72.12,77.3
2005,10,78.49,70.17,78.39
2005,11,81.82,67.64,81.62
2005,12,83.15,69.78,82.95
2005,TOTAL,84.9,76.59,84.77
2006,1,82.46,74.32,82.34
2006,2,83.52,76.7,83.38
2006,3,86.61,83.12,86.54
2006,4,85.66,84.49,85.63
2006,5,79.1,76.31,79.05
2006,6,82.19,76.79,82.08
2006,7,83.88,82.92,83.86
2006,8,83.7,84.66,83.72
2006,9,72.81,64.66,72.62
2006,10,78.91,73.48,78.77
2006,11,80.95,76.81,80.85
2006,12,79.74,71.57,79.45
2006,TOTAL,81.67,77,81.56
2007,1,76.26,72.71,76.13
2007,2,77.23,74.17,77.12
2007,3,82.66,79.4,82.53
2007,4,81.81,79.55,81.72
2007,5,82.38,73.92,82.07
2007,6,84.64,67.48,83.77
2007,7,87.64,77.53,87.06
2007,8,87.13,78.25,86.59
2007,9,71.9,61.06,71.37
2007,10,76.29,66.69,75.88
2007,11,77.62,66.03,76.99
2007,12,77.48,67.15,76.79
2007,TOTAL,80.42,71.82,80.01
2008,1,75.76,72.51,75.54
2008,2,76.79,77.1,76.81
2008,3,81.76,82.22,81.79
2008,4,79.68,77.15,79.51
2008,5,79.12,80.78,79.22
2008,6,83.25,80.45,83.06
2008,7,86.62,85.88,86.56
2008,8,87.06,87.19,87.07
2008,9,77.04,74.81,76.88
2008,10,80.56,82.87,80.74
2008,11,75.82,75.06,75.75
2008,12,80.3,71.7,79.42
2008,TOTAL,80.49,78.98,80.37
