Load Factor (passenger-miles as a proportion of available seat-miles in percent (%)) (Alaska Airlines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,61.32,59.23,61.02
2002,11,65.06,63.64,64.79
2002,12,74.52,67.98,73.31
2002,TOTAL,67.61,70.95,68.12
2003,1,61.25,68.89,62.65
2003,2,66.02,71.88,67.12
2003,3,68.97,72.22,69.57
2003,4,67.98,70.17,68.36
2003,5,68.63,75.11,69.49
2003,6,72.58,73.52,72.69
2003,7,74.46,78.45,74.94
2003,8,75.79,83.92,76.77
2003,9,64.36,56.95,63.45
2003,10,64.99,65.86,65.11
2003,11,69.62,70.08,69.7
2003,12,72.73,72.34,72.66
2003,TOTAL,69.29,71.68,69.65
2004,1,66.48,71.38,67.38
2004,2,67,71.06,67.7
2004,3,72.65,69.64,72.15
2004,4,70.76,75.21,71.47
2004,5,69.27,75.92,70.1
2004,6,76.52,77.52,76.64
2004,7,79.29,79.89,79.36
2004,8,78.8,82.06,79.17
2004,9,69.08,65.02,68.61
2004,10,69.07,72.33,69.45
2004,11,73.8,70.81,73.29
2004,12,76.46,73.82,76.02
2004,TOTAL,72.77,73.56,72.88
2005,1,67.79,73.89,68.84
2005,2,70,73.87,70.67
2005,3,78.27,76.06,77.88
2005,4,77.31,73.14,76.58
2005,5,77.38,73.49,76.84
2005,6,80.8,74.92,80.08
2005,7,82.62,79.48,82.23
2005,8,82.02,80.01,81.76
2005,9,73.13,67.12,72.37
2005,10,70.31,71.5,70.46
2005,11,75.29,74.8,75.21
2005,12,75.66,76.99,75.9
2005,TOTAL,76.09,74.72,75.89
2006,1,67.29,76.41,68.97
2006,2,72.59,78.33,73.64
2006,3,78.39,77.52,78.23
2006,4,78.51,79.34,78.66
2006,5,77.14,79.89,77.5
2006,6,81.78,80.08,81.58
2006,7,83.02,81.66,82.85
2006,8,80.86,80.38,80.81
2006,9,74.33,68.32,73.59
2006,10,72.12,68.77,71.66
2006,11,75.86,68.93,74.51
2006,12,75.68,72.61,75.08
2006,TOTAL,76.71,75.85,76.58
2007,1,65.38,71.32,66.53
2007,2,69.7,74.8,70.69
