Load Factor (passenger-miles as a proportion of available seat-miles in percent (%)) (Frontier Airlines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,55.87,,55.87
2002,11,53.66,,53.66
2002,12,64.84,55.02,64.74
2002,TOTAL,59.52,55.02,59.52
2003,1,52.77,38.4,52.34
2003,2,57.06,45.94,56.73
2003,3,65.84,58.77,65.64
2003,4,60.52,72.38,60.82
2003,5,64.55,80.6,64.98
2003,6,75.17,86.94,75.46
2003,7,79.83,85.15,79.93
2003,8,79.37,77.32,79.32
2003,9,69.36,54.96,69.16
2003,10,72.62,85.23,72.78
2003,11,72.22,76.95,72.37
2003,12,73.6,76.33,73.72
2003,TOTAL,68.93,69.62,68.95
2004,1,66.27,83.4,67.05
2004,2,66.87,95.85,68.22
2004,3,75.48,93.21,76.29
2004,4,71.8,87.53,72.5
2004,5,66.11,85.07,66.91
2004,6,78.55,87.24,78.88
2004,7,81.67,77.79,81.52
2004,8,75.76,74.7,75.73
2004,9,66.22,71.59,66.33
2004,10,76.32,82.78,76.58
2004,11,75.09,71.5,74.83
2004,12,74.4,67.31,73.79
2004,TOTAL,73.2,80.14,73.51
2005,1,70.42,73.57,70.7
2005,2,76.47,78.19,76.62
2005,3,83.38,80.63,83.14
2005,4,81.19,78.02,80.92
2005,5,81.09,75.81,80.72
2005,6,86.67,85.12,86.57
2005,7,87.1,70.26,86.32
2005,8,82.41,63.23,81.82
2005,9,75.64,62.93,75.07
2005,10,75.87,75.82,75.87
2005,11,78.12,71.87,77.88
2005,12,75.27,66.63,74.56
2005,TOTAL,79.62,74.43,79.29
2006,1,69.35,68.8,69.31
2006,2,76.9,76.55,76.87
2006,3,86.05,83.8,85.81
2006,4,85.98,74.71,84.88
2006,5,83.59,83.6,83.59
2006,6,88.73,92.64,89.01
2006,7,89.95,78.25,89.27
2006,8,83.45,70.91,83
2006,9,70.77,70.6,70.76
2006,10,76.37,86.36,76.72
2006,11,72.6,74.64,72.72
2006,12,71.64,74.73,72
2006,TOTAL,79.81,78.25,79.7
2007,1,64.63,69.36,65.19
2007,2,70.74,70.36,70.69
2007,3,78.48,66.88,76.84
2007,4,78.21,70.48,77.28
2007,5,80.31,72.85,79.54
2007,6,87.68,78.42,86.67
2007,7,89.41,73.44,88.17
2007,8,87.88,71.97,86.82
2007,9,78.52,67.93,77.88
2007,10,80.58,68.45,79.84
2007,11,78.71,72.87,78.2
2007,12,73.12,70.32,72.74
2007,TOTAL,79.43,71.12,78.6
2008,1,71.67,78.41,72.49
2008,2,77.61,79.41,77.82
2008,3,84.57,82.63,84.31
2008,4,81.02,84.15,81.32
2008,5,81.55,87.92,82.05
2008,6,86.9,88.25,87
2008,7,87.05,90.42,87.18
2008,8,85.49,84.3,85.45
2008,9,82.38,86.49,82.48
2008,10,83.31,83.19,83.31
2008,11,77.99,83.17,78.32
2008,12,79.08,80.38,79.2
2008,TOTAL,81.79,83.16,81.89
2009,1,69.15,79.11,70.15
2009,2,72.62,83.63,73.7
2009,3,79.37,83.82,79.8
2009,4,80.16,79.42,80.09
2009,5,80.98,70.46,80.44
2009,6,87.45,94.01,87.71
2009,7,91.83,94.67,91.94
2009,8,88.73,85.99,88.63
2009,9,81.29,81.71,81.3
2009,10,81.1,83.9,81.19
2009,11,77.52,80.48,77.71
2009,12,78.09,79.54,78.22
2009,TOTAL,81.03,82.15,81.1
2010,1,68.37,80.09,69.75
2010,2,71.39,86.95,73.12
2010,3,84.51,92.18,85.24
2010,4,82.5,89.02,83.04
2010,5,84.28,88.97,84.48
2010,6,90.38,94.66,90.55
2010,7,91.5,94.21,91.62
2010,8,88.79,81.77,88.53
2010,9,82.36,84.62,82.42
2010,10,85.11,89.32,85.25
2010,11,81.69,88.49,82.09
2010,12,80.85,84.05,81.12
2010,TOTAL,83.31,87.49,83.57
2011,1,76.56,80.92,77.07
2011,2,77.25,84.36,78.04
2011,3,85.39,89.92,85.88
2011,4,85.16,81.67,84.8
2011,5,88.99,88.75,88.98
2011,6,90.78,93.21,90.88
2011,7,93.29,93.59,93.3
2011,8,91.15,82.33,90.88
2011,9,87.82,75.48,87.58
2011,10,89.11,82.16,88.92
2011,11,89.11,84.94,88.9
2011,12,87.07,83.05,86.78
2011,TOTAL,87.25,85.12,87.12
2012,1,82.29,83.7,82.4
2012,2,84.84,84.04,84.75
2012,3,87.5,89.05,87.7
2012,4,87.77,86.2,87.64
2012,5,90.95,88.36,90.85
2012,6,93.58,94.65,93.62
2012,7,93.92,92.67,93.87
2012,8,93.3,87.02,93.12
2012,9,89.59,82.07,89.41
2012,10,91.06,87.26,90.96
2012,11,89.46,84.43,89.12
2012,12,89.1,80.6,88.47
2012,TOTAL,89.61,86.37,89.41
2013,1,88.08,81.99,87.55
2013,2,87.21,87,87.19
2013,3,90.43,88.39,90.22
2013,4,87.53,85.31,87.35
2013,5,92.09,90.11,92
2013,6,94.55,93.75,94.51
2013,7,94.93,90.09,94.67
2013,8,94.19,84.82,93.83
2013,9,91.87,81.16,91.61
2013,10,92.94,89.4,92.82
2013,11,91.61,88.67,91.45
2013,12,91.11,86.15,90.75
2013,TOTAL,91.55,87.19,91.28
2014,1,82.74,77.31,82.21
2014,2,89.23,87.82,89.08
2014,3,92.29,88.56,91.89
2014,4,89.49,80.34,88.64
2014,5,92.14,85.46,91.86
2014,6,91.65,90.59,91.61
2014,7,92.02,86.75,91.81
2014,8,93.29,87.92,93.13
2014,9,89.41,80.44,89.23
2014,10,87.81,89.91,87.85
2014,11,86.6,85.9,86.57
2014,12,89.14,81.75,88.73
2014,TOTAL,89.76,84.71,89.48
2015,1,85.03,84.27,84.97
2015,2,81.01,79.4,80.86
2015,3,89.11,85.18,88.83
2015,4,86.8,79.77,86.41
2015,5,80.64,79.48,80.61
2015,6,91.51,89.89,91.47
2015,7,91.73,84.66,91.6
2015,8,86.43,78.24,86.25
2015,9,86.43,70.05,86.04
2015,10,89.4,73.08,88.81
2015,11,87.9,77.36,87.06
2015,12,86.81,81.34,86.6
2015,TOTAL,86.99,80.22,86.69
2016,1,84.04,80.49,83.69
2016,2,88.47,79.28,87.56
2016,3,90.93,87.71,90.62
2016,4,85.05,84.38,85
2016,5,87.26,85.61,87.17
2016,6,90.38,92.92,90.52
2016,7,91.35,94.66,91.52
2016,8,88.38,84.1,88.2
2016,9,84.91,84.45,84.9
2016,10,86,86.17,86.01
2016,11,86.52,79.13,85.92
2016,12,85.65,79.89,85.15
2016,TOTAL,87.41,84.12,87.19
2017,1,82.69,79.34,82.38
2017,2,86.86,84.77,86.66
2017,3,90.8,85.53,90.31
2017,4,87.31,85.37,87.16
2017,5,86.43,89.72,86.65
2017,6,88.87,92.57,89.09
2017,7,88.8,92.2,88.99
2017,8,85.51,81.72,85.33
2017,9,82.15,65.84,81.41
2017,10,85.69,69.83,85
2017,11,87.1,69.64,85.91
2017,12,88.82,70.63,87.29
2017,TOTAL,86.77,80.84,86.36
2018,1,81.67,67.87,80.48
2018,2,84.96,76.53,84.28
2018,3,89.53,80.2,88.75
2018,4,84.26,78.25,83.88
2018,5,86.28,77.59,85.79
2018,6,89.55,88.67,89.5
2018,7,90.61,86.32,90.36
2018,8,86.84,79.06,86.47
2018,9,81.48,66.84,80.89
2018,10,85.05,72.99,84.59
2018,11,85.94,71.76,85.12
2018,12,85.2,74.73,84.5
2018,TOTAL,85.96,76.77,85.4
2019,1,84.85,72.79,83.89
2019,2,86.16,77.05,85.42
2019,3,89.11,83.33,88.63
2019,4,86.8,76.03,85.94
2019,5,88.27,77.53,87.6
2019,6,90.38,87.45,90.2
2019,7,91.01,80.38,90.39
2019,8,87.18,76.44,86.78
2019,9,80.44,63.51,80.01
2019,10,84.23,70.79,83.9
2019,11,83.69,70.2,83.18
2019,12,87.6,78.16,87.14
2019,TOTAL,86.62,77.39,86.11
2020,1,81.02,77.22,80.8
2020,2,81.02,81.48,81.05
2020,3,58.76,62.92,59.03
2020,4,17.18,,17.18
2020,5,51.45,,51.45
2020,6,65.89,,65.89
2020,7,60.01,41.94,59.93
2020,8,61.19,56.68,61.12
2020,9,66.74,69.98,66.79
2020,10,67.99,71.61,68.03
2020,11,63.17,53,62.84
2020,12,65.54,53.57,64.92
2020,TOTAL,67.41,69.22,67.48
2021,1,66.42,50,65.35
2021,2,69.4,39.7,67.09
2021,3,75.12,61.45,74.32
2021,4,79.64,72.99,79.24
2021,5,79.13,77.76,79.05
2021,6,81.45,78.23,81.21
2021,7,84,80.72,83.71
2021,8,78.37,73.15,78.04
2021,9,70.31,54.26,69.59
2021,10,76.45,58.85,75.48
2021,11,73.34,54.75,71.85
2021,12,77.56,59.54,75.43
2021,TOTAL,76.67,65.02,75.84
2022,1,70.04,53.89,67.86
2022,2,76.19,59.95,73.96
2022,3,81.77,70.51,80.16
2022,4,83.02,67.36,80.82
2022,5,85.27,68.55,83.21
2022,6,89.18,83.92,88.52
2022,7,86.08,87.58,86.26
2022,8,83.07,73.89,82.24
2022,9,79.56,68.86,78.96
2022,10,82.68,78.58,82.49
2022,11,81.82,72.86,81.16
2022,12,83.15,79.15,82.78
2022,TOTAL,81.95,71.59,80.86
2023,1,79.39,80.11,79.47
2023,2,82.03,82.04,82.03
2023,3,86.48,84.47,86.3
2023,4,85.34,77.22,84.53
2023,5,86.14,71.25,84.37
2023,6,88.1,79.52,86.97
2023,7,87.67,80.87,86.84
2023,8,79.43,66.97,78.25
2023,9,75.17,59.87,74.46
2023,10,81.01,67.81,80.4
2023,11,79.84,62.05,78.37
2023,12,77.17,63.63,75.57
2023,TOTAL,82.24,73.84,81.43
2024,1,69.88,60.79,68.72
2024,2,71.06,64.4,70.32
2024,3,78.88,71.38,78.24
2024,4,77.56,62.51,76.2
2024,5,78.55,65.85,77.28
2024,6,80.73,79.46,80.6
2024,7,80.93,79.98,80.85
2024,8,78.02,73.25,77.76
2024,9,74.87,64.6,74.7
2024,10,78.49,70.28,78.31
2024,11,77.38,64.77,76.9
2024,12,80.05,72.13,79.49
2024,TOTAL,77.43,69.42,76.82
2025,1,74.5,72.65,74.38
2025,2,73.78,72.25,73.68
2025,3,76.58,73.35,76.37
2025,4,76.17,65.72,75.52
2025,5,80.79,66.7,79.71
2025,6,83.71,76.34,83.01
2025,7,84.86,74.1,83.78
2025,8,80.27,66.16,79.28
2025,9,78.78,59.93,78.41
2025,10,79.79,61.36,79.23
2025,11,77.27,54.15,76.2
2025,12,82.82,64.67,81.21
2025,TOTAL,79.13,68.91,78.46
2026,1,77.88,63.84,76.67
2026,TOTAL,77.88,63.84,76.67
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
