OP_PROFIT_LOSS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION,YEAR,QUARTER
-4146599.97,AA,American Airlines Inc.,D,2020,3
-4029704.61,AA,American Airlines Inc.,D,2020,2
-2908378,DL,Delta Air Lines Inc.,D,2020,2
-2628872,WN,Southwest Airlines Co.,D,2020,3
-2375917.28,AA,American Airlines Inc.,D,2021,1
-2216779,WN,Southwest Airlines Co.,D,2020,2
-2198532.83,UA,United Air Lines Inc.,D,2020,2
-2127672.91,UA,United Air Lines Inc.,D,2020,3
-2102709.99,AA,American Airlines Inc.,D,2020,1
-2054835.6,UA,United Air Lines Inc.,D,2021,1
-2015723,DL,Delta Air Lines Inc.,D,2020,3
-2003556.51,AA,American Airlines Inc.,D,2020,4
-1974123,DL,Delta Air Lines Inc.,D,2021,1
-1688246.82,UA,United Air Lines Inc.,D,2020,4
-1496688,DL,Delta Air Lines Inc.,D,2020,4
-1143922,WN,Southwest Airlines Co.,D,2020,4
-993014,WN,Southwest Airlines Co.,D,2021,1
-943486,AS,Alaska Airlines Inc.,D,2020,3
-908657.28,AA,American Airlines Inc.,D,2022,1
-888563.09,UA,United Air Lines Inc.,D,2022,1
-856832.27,AA,American Airlines Inc.,L,2021,1
-686961.55,B6,JetBlue Airways,D,2020,2
-685817.92,UA,United Air Lines Inc.,D,2021,2
-642735,AS,Alaska Airlines Inc.,D,2020,2
-604790,AA,American Airlines Inc.,D,2011,4
-590014.78,B6,JetBlue Airways,D,2020,3
-589042.69,UA,United Air Lines Inc.,D,2020,1
-587273,AS,Alaska Airlines Inc.,D,2020,4
-554060,AS,Alaska Airlines Inc.,D,2021,1
-536851.74,UA,United Air Lines Inc.,P,2020,2
-518970.94,UA,United Air Lines Inc.,L,2021,1
-497580,DL,Delta Air Lines Inc.,D,2022,1
-490364.49,B6,JetBlue Airways,D,2020,4
-459002.16,B6,JetBlue Airways,D,2021,1
-449084.75,UA,United Air Lines Inc.,A,2020,3
-438265.22,AA,American Airlines Inc.,A,2022,1
-410253.17,AA,American Airlines Inc.,D,2021,2
-395724,DL,Delta Air Lines Inc.,D,2021,2
-389400.9,UA,United Air Lines Inc.,A,2020,4
-386601,DL,Delta Air Lines Inc.,D,2020,1
-385244.36,AA,American Airlines Inc.,A,2020,3
-381423.16,AA,American Airlines Inc.,D,2021,4
-373557,WN,Southwest Airlines Co.,D,2022,4
-369229.07,AA,American Airlines Inc.,A,2021,2
-355568,AA,American Airlines Inc.,D,2009,4
-344064.43,UA,United Air Lines Inc.,A,2021,1
-339593.66,UA,United Air Lines Inc.,D,2021,4
-334565.52,UA,United Air Lines Inc.,A,2020,2
-334120,AA,American Airlines Inc.,D,2011,1
-332025.96,NK,Spirit Air Lines,D,2020,2
-329283.98,UA,United Air Lines Inc.,D,2012,4
-326933,DL,Delta Air Lines Inc.,A,2020,2
-321505.13,UA,United Air Lines Inc.,P,2020,3
-321400.71,AA,American Airlines Inc.,A,2021,3
-311845.84,UA,United Air Lines Inc.,D,2014,1
-306299.98,AA,American Airlines Inc.,A,2022,2
-304606.82,UA,United Air Lines Inc.,L,2020,4
-304085.1,AA,American Airlines Inc.,A,2020,1
-294743.38,B6,JetBlue Airways,D,2022,1
-290930.71,AA,American Airlines Inc.,L,2022,1
-290611.39,UA,United Air Lines Inc.,L,2021,2
-289992,DL,Delta Air Lines Inc.,L,2021,1
-288207,DL,Delta Air Lines Inc.,D,2014,4
-283434.22,UA,United Air Lines Inc.,L,2022,1
-272246.35,UA,United Air Lines Inc.,P,2021,1
-267513.28,NK,Spirit Air Lines,D,2022,4
-254138.46,AA,American Airlines Inc.,A,2021,4
-249327.96,AA,American Airlines Inc.,L,2020,4
-249135,AA,American Airlines Inc.,D,2010,1
-248331.44,NK,Spirit Air Lines,D,2021,1
-246605.37,UA,United Air Lines Inc.,D,2011,4
-241310,AS,Alaska Airlines Inc.,D,2022,1
-240986.02,AA,American Airlines Inc.,L,2020,3
-239530,AA,American Airlines Inc.,D,2009,3
-238927.53,AA,American Airlines Inc.,A,2020,2
-238126.06,NK,Spirit Air Lines,D,2020,3
-236419,AS,Alaska Airlines Inc.,D,2020,1
-231833,DL,Delta Air Lines Inc.,A,2009,1
-229041,DL,Delta Air Lines Inc.,L,2014,4
-228388.77,HA,Hawaiian Airlines Inc.,D,2020,3
-226709,DL,Delta Air Lines Inc.,P,2020,2
-223383,DL,Delta Air Lines Inc.,A,2011,1
-223081.77,HA,Hawaiian Airlines Inc.,D,2020,2
-222557,AA,American Airlines Inc.,D,2009,1
-220417.8,UA,United Air Lines Inc.,D,2012,1
-210264.14,UA,United Air Lines Inc.,L,2020,3
-208037.54,AA,American Airlines Inc.,A,2022,4
-204706.55,UA,United Air Lines Inc.,A,2021,2
-204675.93,UA,United Air Lines Inc.,P,2020,4
-203287.59,F9,Frontier Airlines Inc.,D,2021,1
-199409.37,HA,Hawaiian Airlines Inc.,D,2021,1
-188723.72,UA,United Air Lines Inc.,P,2020,1
-182057.84,G4,Allegiant Air,D,2020,2
-180805.17,NK,Spirit Air Lines,D,2022,1
-179163.18,AA,American Airlines Inc.,L,2020,2
-178119.96,HA,Hawaiian Airlines Inc.,D,2020,4
-177991,AA,American Airlines Inc.,A,2011,4
-175770.56,AA,American Airlines Inc.,L,2021,2
-175349.72,F9,Frontier Airlines Inc.,D,2020,4
-172456.35,AA,American Airlines Inc.,P,2020,3
-170898,UA,United Air Lines Inc.,D,2013,1
-169515.46,F9,Frontier Airlines Inc.,D,2020,3
-168353.77,B6,JetBlue Airways,D,2021,2
-167696.65,UA,United Air Lines Inc.,P,2021,2
-167434,AA,American Airlines Inc.,A,2011,2
-161533,AA,American Airlines Inc.,D,2012,3
-161404.88,UA,United Air Lines Inc.,A,2022,1
-160386,AA,American Airlines Inc.,D,2009,2
-158359,DL,Delta Air Lines Inc.,A,2012,2
-158198,DL,Delta Air Lines Inc.,A,2021,1
-157436,AA,American Airlines Inc.,D,2012,1
-156492,DL,Delta Air Lines Inc.,A,2009,2
-156223.37,B6,JetBlue Airways,D,2020,1
-155971.44,UA,United Air Lines Inc.,D,2012,3
