Airline_Name,total_revenue,total_operating_income,avg_load_factor,weighted_operating_margin
Allegiant Airlines,17089211,2004462.92,84.02625,0.11729405880704498
Alaska Airlines,80026901,6474865.0,80.91666666666666,0.08090860596988506
Delta Airlines,511941627,40909498.0,82.2494642857143,0.07991047385564526
Southwest Airlines,243285408,17470403.0,78.94970238095239,0.07181032000077868
Hawaiian Airlines,28748645,1518639.24,81.65363095238095,0.0528247240869961
JetBlue Airlines,81786288,4004039.1599999997,80.77214285714285,0.048957340624139825
Spirit Airlines,31826265,1476339.05,82.98922619047619,0.04638744288718767
United Airlines,453207144,14105015.399999999,82.80071428571429,0.03112266782802523
Frontier Airlines,24981992,488328.37999999995,83.83482142857143,0.01954721545023311
American Airlines,446401682,3437026.1500000013,82.70023809523809,0.007699402328864884
