Airline_Name,COVID_Shock,Pre_COVID,Recovery,COVID_Collapse_Value
American Airlines,-3139067.0216666665,495992.82545454544,74623.9933333334,-3635059.8471212117
United Airlines,-2405267.9233333333,606810.9152272727,306157.11166666663,-3012078.838560606
Delta Airlines,-1817046.1666666667,1063270.8636363635,837976.1666666666,-2880317.0303030303
Southwest Airlines,-1216895.3333333333,536129.75,197011.0,-1753025.0833333333
Alaska Airlines,-534847.5,210368.97727272726,71285.83333333333,-745216.4772727273
JetBlue Airlines,-468291.1666666667,162972.92431818182,-59503.75166666667,-631264.0909848486
Spirit Airlines,-185948.25999999998,75564.98818181817,-122138.47833333333,-261513.24818181817
Hawaiian Airlines,-170008.29333333333,64303.78954545454,-48446.29,-234312.08287878789
Frontier Airlines,-135925.39166666666,33257.6975,-26576.326666666664,-169183.08916666667
Allegiant Airlines,-46561.655,47448.421136363635,32683.72,-94010.07613636364
