Airline,Weighted_Margin_%,Avg_Qtr_Margin_%,Total_OpIncome_$M,Total_Revenue_$M,Loss_Rate_%
Allegiant Airlines,11.73,9.57,2004.5,17089.2,7.1
Alaska Airlines,8.09,3.3,6474.9,80026.9,12.5
Delta Airlines,7.99,0.97,40909.5,511941.6,21.4
Southwest Airlines,7.18,0.3,17470.4,243285.4,17.9
Hawaiian Airlines,5.28,-10.08,1518.6,28748.6,25.0
JetBlue Airlines,4.9,-3.53,4004.0,81786.3,16.1
Spirit Airlines,4.64,3.32,1476.3,31826.3,25.0
United Airlines,3.11,-4.71,14105.0,453207.1,26.8
Frontier Airlines,1.95,-0.16,488.3,24982.0,35.7
American Airlines,0.77,-7.36,3437.0,446401.7,33.9
