Airline_Name,Quarters_Tracked,Total_Revenue_M,Total_Op_Income_M,Total_Net_Income_M,Avg_Quarterly_Revenue_K,Avg_Quarterly_OpIncome_K,Std_OpIncome_K,Min_OpIncome_K,Max_OpIncome_K,Avg_Load_Factor_Pct,Std_Load_Factor_Pct,Avg_Op_Margin_Pct,Weighted_Op_Margin_Pct,Loss_Quarters,Profit_Quarters,Loss_Rate_Pct
Allegiant Airlines,56,17089.2,2004.5,2042.4,305164.0,35794.0,50090.0,-182058.0,115497.0,84.03,10.21,9.57,11.73,4,52,7.1
Alaska Airlines,56,80026.9,6474.9,5181.8,1429052.0,115623.0,285032.0,-985565.0,463667.0,80.92,10.89,3.3,8.09,7,49,12.5
Delta Airlines,56,511941.6,40909.5,23851.8,9141815.0,730527.0,1223189.0,-3517502.0,2496242.0,82.25,11.68,0.97,7.99,12,44,21.4
Southwest Airlines,56,243285.4,17470.4,14200.0,4344382.0,311971.0,732914.0,-2658234.0,1275954.0,78.95,10.0,0.3,7.18,10,46,17.9
Hawaiian Airlines,56,28748.6,1518.6,912.6,513369.0,27119.0,94585.0,-249979.0,177785.0,81.65,14.27,-10.08,5.28,14,42,25.0
JetBlue Airlines,56,81786.3,4004.0,2373.7,1460469.0,71501.0,238372.0,-714046.0,354437.0,80.77,10.26,-3.53,4.9,9,47,16.1
Spirit Airlines,56,31826.3,1476.3,561.7,568326.0,26363.0,116582.0,-342295.0,163938.0,82.99,5.67,3.32,4.64,14,42,25.0
United Airlines,56,453207.1,14105.0,9728.4,8092985.0,251875.0,1156823.0,-3225521.0,1899591.0,82.8,9.29,-4.71,3.11,15,41,26.8
Frontier Airlines,56,24982.0,488.3,660.5,446107.0,8720.0,73630.0,-216407.0,125528.0,83.83,8.38,-0.16,1.95,20,36,35.7
American Airlines,56,446401.7,3437.0,-515.4,7971459.0,61375.0,1378125.0,-4945287.0,2002747.0,82.7,7.41,-7.36,0.77,19,37,33.9
