Airline_Name,Year,operating_revenue,YoY_Growth_Pct
Alaska Airlines,2009,3005999,
Alaska Airlines,2010,3426625,13.992885559842172
Alaska Airlines,2011,4309602,25.76812461241016
Alaska Airlines,2012,4650001,7.898618016234438
Alaska Airlines,2013,5150814,10.770169726845214
Alaska Airlines,2014,5363353,4.126318675067675
Alaska Airlines,2015,5594087,4.302047618346205
Alaska Airlines,2016,5827853,4.178805227734217
Alaska Airlines,2017,6287852,7.893112609394914
Alaska Airlines,2018,8259807,31.361345655082218
Alaska Airlines,2019,8774664,6.2332812376850955
Alaska Airlines,2020,3563386,-59.39005755661984
Alaska Airlines,2021,6171233,73.18452168807983
Alaska Airlines,2022,9641625,56.234985779989174
Allegiant Airlines,2009,536465,
Allegiant Airlines,2010,635459,18.453021166338914
Allegiant Airlines,2011,745037,17.243913454683945
Allegiant Airlines,2012,869237,16.670313018011186
Allegiant Airlines,2013,957824,10.191351725708863
Allegiant Airlines,2014,1099662,14.808357276493389
Allegiant Airlines,2015,1221508,11.080313769139982
Allegiant Airlines,2016,1317315,7.843337906915049
Allegiant Airlines,2017,1443616,9.587759951112673
Allegiant Airlines,2018,1596809,10.61175548068185
Allegiant Airlines,2019,1745986,9.34219433883452
Allegiant Airlines,2020,926450,-46.93829160142178
Allegiant Airlines,2021,1692017,82.63446489287062
Allegiant Airlines,2022,2301826,36.04035893256392
American Airlines,2009,19898245,
American Airlines,2010,22150940,11.321073793191317
American Airlines,2011,23957565,8.155974419144286
American Airlines,2012,24825067,3.620994036747893
American Airlines,2013,25760245,3.7670714040771713
American Airlines,2014,27140391,5.357658671336396
American Airlines,2015,33580845,23.730144492022976
American Airlines,2016,40421537,20.37081556464704
American Airlines,2017,42195316,4.388202754388093
American Airlines,2018,44529814,5.532599874355726
American Airlines,2019,45761124,2.765136184938921
American Airlines,2020,17335011,-62.118476373089095
American Airlines,2021,29880030,72.36810521781614
American Airlines,2022,48965552,63.87383814541017
Delta Airlines,2009,18046580,
Delta Airlines,2010,31893702,76.7298956367356
Delta Airlines,2011,35315717,10.7294380564539
Delta Airlines,2012,36916967,4.534100213794323
Delta Airlines,2013,37818194,2.4412270921389645
Delta Airlines,2014,40426454,6.89683912457586
Delta Airlines,2015,40815767,0.963015455176941
Delta Airlines,2016,39849613,-2.367109749523999
Delta Airlines,2017,41475860,4.080960585489257
Delta Airlines,2018,44537997,7.382937930642064
Delta Airlines,2019,47126335,5.811527626624069
Delta Airlines,2020,17117507,-63.677406698399096
Delta Airlines,2021,29931155,74.8569753761456
Delta Airlines,2022,50669779,69.28775050611979
Frontier Airlines,2009,1113397,
Frontier Airlines,2010,1316949,18.28206830088459
Frontier Airlines,2011,1661914,26.194256573337316
Frontier Airlines,2012,1433466,-13.746078316928557
Frontier Airlines,2013,1348552,-5.92368427294404
Frontier Airlines,2014,1574869,16.782222709988194
Frontier Airlines,2015,1604012,1.8505031212119771
Frontier Airlines,2016,1713577,6.830684558469646
Frontier Airlines,2017,1914741,11.739419938526252
Frontier Airlines,2018,2155858,12.592669191290096
Frontier Airlines,2019,2508350,16.350427532796697
Frontier Airlines,2020,1250006,-50.1662048757151
Frontier Airlines,2021,2060273,64.82104885896547
Frontier Airlines,2022,3326028,61.43627567802908
Hawaiian Airlines,2009,1183619,
Hawaiian Airlines,2010,1312221,10.86515170844673
Hawaiian Airlines,2011,1651121,25.82644234469651
Hawaiian Airlines,2012,1962570,18.862881642229734
Hawaiian Airlines,2013,2155554,9.833228878460387
Hawaiian Airlines,2014,2311201,7.220742324247031
Hawaiian Airlines,2015,2313157,0.0846313237143903
Hawaiian Airlines,2016,2441524,5.549428767697129
Hawaiian Airlines,2017,2687920,10.09189342394341
Hawaiian Airlines,2018,2827215,5.1822598886871685
Hawaiian Airlines,2019,2830131,0.10314036958631867
Hawaiian Airlines,2020,843195,-70.20650280852723
Hawaiian Airlines,2021,1592876,88.90956421705536
Hawaiian Airlines,2022,2636341,65.50823792938057
JetBlue Airlines,2009,3287413,
JetBlue Airlines,2010,3780816,15.008853466236216
JetBlue Airlines,2011,4508899,19.25729789548076
JetBlue Airlines,2012,4982014,10.492916341661228
JetBlue Airlines,2013,5441828,9.229480286486558
JetBlue Airlines,2014,5816878,6.891985560734382
JetBlue Airlines,2015,6416127,10.30190077907771
JetBlue Airlines,2016,6632432,3.3712705499750806
JetBlue Airlines,2017,7015326,5.77305579612426
JetBlue Airlines,2018,7658451,9.1674285699624
JetBlue Airlines,2019,8094007,5.6872597343770925
JetBlue Airlines,2020,2956562,-63.47220851180386
JetBlue Airlines,2021,6037352,104.20177219351396
JetBlue Airlines,2022,9158183,51.692049759563474
Southwest Airlines,2009,10350338,
Southwest Airlines,2010,12103710,16.94023905306281
Southwest Airlines,2011,13654641,12.813682746860255
Southwest Airlines,2012,16410596,20.183284203517317
Southwest Airlines,2013,17699434,7.853694040118953
Southwest Airlines,2014,18605116,5.117011086343215
Southwest Airlines,2015,19820110,6.530429587216768
Southwest Airlines,2016,20425210,3.05295984734697
Southwest Airlines,2017,21170660,3.649656478440133
Southwest Airlines,2018,21965049,3.7523109813298205
Southwest Airlines,2019,22427753,2.106546632333939
Southwest Airlines,2020,9048061,-59.65685461222976
Southwest Airlines,2021,15790331,74.51618639617925
Southwest Airlines,2022,23814399,50.816338175558194
Spirit Airlines,2009,700038,
Spirit Airlines,2010,778905,11.266102697282143
Spirit Airlines,2011,1071187,37.52473023025915
Spirit Airlines,2012,1318388,23.077296494449605
Spirit Airlines,2013,1654385,25.485441311662417
Spirit Airlines,2014,1931580,16.755168839175894
Spirit Airlines,2015,2141463,10.86587146274034
Spirit Airlines,2016,2321956,8.428490242418384
Spirit Airlines,2017,2645548,13.936181391895452
Spirit Airlines,2018,3323035,25.608569566683357
Spirit Airlines,2019,3830536,15.272213503619426
Spirit Airlines,2020,1810022,-52.74755282289476
Spirit Airlines,2021,3230775,78.49368681706632
Spirit Airlines,2022,5068447,56.880222237698376
